Movie_name	Crtics_reviewer_count	Audience_reviewer_count
1037244-star	5	1278
1037447-poison	21	1894
1037581-cape_fear	48	68417
1037599-voyager	8	4
1037649-my_girl	14	394549
1037756-jfk	61	62392
1037780-man_in_the_moon	19	33281
1037787-search	8	4
1037789-train	10	4236
1037864-father_of_the_bride	42	375081
1038009-rush	28	8354
1038176-medicine_man	20	37427
1038237-platinum_blonde	7	1068
1038510-black_cat	31	3561
1038517-murders_in_the_rue_morgue	12	1047
1038526-uninvited	18	2645
1038613-italian_job	25	71029
1038641-mad_love	11	2054
1038726-beethoven	26	432307
1038770-high_heels	12	6956
1038978-babe	37	7340
1038990-cutting_edge	15	43225
1039071-gladiator	12	9777
1039270-deep_cover	20	8477
1039401-proof	16	5336
1039460-all_i_want_for_christmas	13	9718
1039511-class_act	12	6042
1039515-edward_ii	8	1329
1039796-boomerang	30	35872
1040198-rapid_fire	16	10280
1040204-live_wire	5	2006
1040322-of_mice_and_men	28	47697
1040324-body_parts	15	6996
1040378-cool_world	46	54794
1040398-naked_city	21	3234
1040442-conquest_of_space	5	0
1040484-wind	11	2944
1040678-last_of_the_mohicans	37	207185
1040755-consenting_adults	11	3605
1040798-husbands_and_wives	39	14106
1040893-hero	19	16874
1041049-geronimo	5	3
1041055-ned_kelly	7	1141
1041862-forever_young	15	59676
1041870-matinee	32	6972
1041911-unforgiven	95	122212
1042059-leap_of_faith	20	10902
1042108-bodyguard	37	260515
1042135-malcolm_x	55	56703
1042193-scent_of_a_woman	42	118935
1042212-nowhere_to_run	21	20672
1042295-vanishing	34	15463
1042416-crush	27	20148
1042466-boiling_point	10	10268
1042491-indian_summer	18	6791
1042538-alive	24	46576
1042582-aladdin	68	938786
1042629-point_of_no_return	24	30144
1042728-brothers_keeper	17	2097
1043331-born_yesterday	23	5980
1043378-stalker	32	24937
1043525-lost_world	10	3230
1043923-browning_version	17	3
1043958-posse	16	6792
1043960-made_in_america	28	42371
1044134-last_holiday	8	0
